,gmaps_name,gmaps_address,gmaps_latitude,gmaps_longitude,composite_score,yelp_types,gmaps_types,type
0,Papi's Cuban & Caribbean Grill,"216 Ponce De Leon Ave NE, Atlanta, GA 30308",33.7727465,-84.3803803,0.8063317773,"caribbean, cuban, restaurants","restaurant, food",food
1,Tin Lizzy's Cantina,"26 Andrew Young International Blvd NE, Atlanta, GA 30303",33.7597795,-84.3866868,0.7104738756,"restaurants, nightlife, mexican, bars, sports bars, texmex","bar, restaurant, food",food
2,Shane's Rib Shack,"1221 Caroline St NE, Atlanta, GA 30307",33.7582716,-84.3484586,0.6266392401,"caterers, barbeque, restaurants, event planning  services, southern","restaurant, food",food
3,Truva Turkish Kitchen,"60 Andrew Young International Blvd NE, Atlanta, GA 30303",33.7599813,-84.3857986,0.7671088687,"turkish, restaurants, mediterranean, vegetarian","restaurant, food",food
4,Caffe Antico,"1077 Hemphill Ave NW, Atlanta, GA 30318, United States",33.784286,-84.4055473,0.6421428863,"cafes, food, coffee  tea, gelato, restaurants",food,food
5,Mojo Pizza N' Pub,"657 East Lake Dr, Decatur, GA 30030",33.7593752,-84.3035125,0.6236987676,"bars, pubs, italian, restaurants, pizza, nightlife","bar, restaurant, food",food
6,Cuts Steakhouse,"60 Andrew Young International Blvd NE, Atlanta, GA 30303",33.759901,-84.3857852,0.7246070763,"restaurants, american traditional, steakhouses","restaurant, food",food
7,LanZhou Ramen,"5231 Buford Hwy NE, Doraville, GA 30340",33.8948429,-84.2819667,0.7749036063,"chinese, restaurants, japanese, ramen","restaurant, food",food
8,Applebee's Grill + Bar,"4705 Memorial Dr, Decatur, GA 30032",33.7830219,-84.2359951,0.4853878457,"nightlife, sports bars, bars, burgers, american new, american traditional, restaurants, steakhouses","restaurant, bar, food",food
9,Terra Terroir,"3974 Peachtree Rd, Atlanta, GA 30319",33.8593822,-84.3413386,0.7502059075,"restaurants, american new, wine tasting room, food delivery services, cocktail bars, bars, asian fusion, arts  entertainment, food, wine bars, nightlife, wineries, sports bars, american traditional","restaurant, food",food
10,Fellini's Pizza,"1634 McLendon Ave NE, Atlanta, GA 30307",33.7650216,-84.3339731,0.7668085261,"restaurants, pizza","restaurant, food",food
11,Chick-fil-A,"5700 Buford Hwy NE, Doraville, GA 30340",33.9076632,-84.2690846,0.57294097,"restaurants, caterers, event planning  services, fast food","restaurant, food",food
12,Persepolis Persian Cuisine,"6435-B Roswell Rd, Sandy Springs, GA 30328",33.930749,-84.3790961,0.7503878111,"restaurants, food, persianiranian, specialty food, ethnic food, middle eastern","restaurant, food",food
