yelp_id,gmaps_id,gmaps_name,gmaps_address,gmaps_city,gmaps_zipcode,gmaps_latitude,gmaps_longitude,yelp_rating,yelp_rating_count,gmaps_rating,gmaps_rating_count,composite_score,yelp_types,gmaps_types,has at least one type (yelp/google)
bP6goJODwRnM3AVy45Kn9w,ChIJs_XQKGwE9YgRk6aS134lkwA,Papi's Cuban & Caribbean Grill,"216 Ponce De Leon Ave NE, Atlanta, GA 30308",Atlanta,30308,33.7727465,-84.3803803,4,1001,4.5,3284,0.8063317773,"Caribbean, Cuban, Restaurants","restaurant, food",1
opdd6sSWjwiy-doXnlpMeA,ChIJEQGwSHgE9YgRMW1WQIpsLZQ,Tin Lizzy's Cantina,"26 Andrew Young International Blvd NE, Atlanta, GA 30303",Atlanta,30303,33.7597795,-84.3866868,3.5,10,4.7,4827,0.7104738756,"Restaurants, Nightlife, Mexican, Bars, Sports Bars, Tex-Mex","bar, restaurant, food",1
LOiS95cRQbPrbRZ2-fMXbg,ChIJzaEokawG9YgRkhXYNqGr8UE,Shane's Rib Shack,"1221 Caroline St NE, Atlanta, GA 30307",Atlanta,30307,33.7582716,-84.3484586,3,100,4.2,842,0.6266392401,"Caterers, Barbeque, Restaurants, Event Planning & Services, Southern","restaurant, food",1
vE6ZtSOEpFWbpl8KmEqv7g,ChIJIdpXQv0F9YgRPtTY5ZzDQWE,Truva Turkish Kitchen,"60 Andrew Young International Blvd NE, Atlanta, GA 30303",Atlanta,30303,33.7599813,-84.3857986,4,446,4.4,658,0.7671088687,"Turkish, Restaurants, Mediterranean, Vegetarian","restaurant, food",1
KTRhicnD-1DHJJDjTy2Y_A,ChIJmWvyivIE9YgRVnliDUHj0pQ,Caffe Antico,"1077 Hemphill Ave NW, Atlanta, GA 30318, United States",Atlanta,30318,33.784286,-84.4055473,3.5,76,4.1,119,0.6421428863,"Cafes, Food, Coffee & Tea, Gelato, Restaurants",food,1
dTqLaBbjDRIYKqEQ9L3J8w,ChIJl7xNxS0H9YgRkQ2uW1N4O8I,Mojo Pizza N' Pub,"657 East Lake Dr, Decatur, GA 30030",Decatur,30030,33.7593752,-84.3035125,3,143,4.2,374,0.6236987676,"Bars, Pubs, Italian, Restaurants, Pizza, Nightlife","bar, restaurant, food",1
v7jxMevlILvPkDWubX_Xug,ChIJEaOP83cE9YgRsIHK7RdWDr0,Cuts Steakhouse,"60 Andrew Young International Blvd NE, Atlanta, GA 30303",Atlanta,30303,33.759901,-84.3857852,3.5,502,4.3,2968,0.7246070763,"Restaurants, American (Traditional), Steakhouses","restaurant, food",1
MlXsuBBd9UwgBkQzrGDJqA,ChIJZ8obVM4J9YgR_JlLF3EF1EM,LanZhou Ramen,"5231 Buford Hwy NE, Doraville, GA 30340",Doraville,30340,33.8948429,-84.2819667,4,471,4.4,1284,0.7749036063,"Chinese, Restaurants, Japanese, Ramen","restaurant, food",1
9aetNxZjTbzWonbG6KZBZA,ChIJdRQ6CaWp9YgRjT4c933ZI5o,Applebee's Grill + Bar,"4705 Memorial Dr, Decatur, GA 30032",Decatur,30032,33.7830219,-84.2359951,2,69,3.7,3369,0.4853878457,"Nightlife, Sports Bars, Bars, Burgers, American (New), American (Traditional), Restaurants, Steakhouses","restaurant, bar, food",1
2my2c6ppqTjM0YYsr7Ugcw,ChIJ_4mRv7sI9YgRSFYWBZEn-kw,Terra Terroir,"3974 Peachtree Rd, Atlanta, GA 30319",Atlanta,30319,33.8593822,-84.3413386,4,219,4.4,372,0.7502059075,"Restaurants, American (New), Wine Tasting Room, Food Delivery Services, Cocktail Bars, Bars, Asian Fusion, Arts & Entertainment, Food, Wine Bars, Nightlife, Wineries, Sports Bars, American (Traditional)","restaurant, food",1
KXLAO_XauFtDMoUb-9ziZA,ChIJVTxdxbcG9YgRL-F9n6tZ9cQ,Fellini's Pizza,"1634 McLendon Ave NE, Atlanta, GA 30307",Atlanta,30307,33.7650216,-84.3339731,4,151,4.5,1218,0.7668085261,"Restaurants, Pizza","restaurant, food",1
2E9rM9VBFEPo7_YHvLyoVw,ChIJezgxFGCn9YgRyShi0kkX0Qc,Chick-fil-A,"5700 Buford Hwy NE, Doraville, GA 30340",Doraville,30340,33.9076632,-84.2690846,2.5,44,4.2,1966,0.57294097,"Restaurants, Caterers, Event Planning & Services, Fast Food","restaurant, food",1
5NuMKr1rIJYOnsgMNvu2dg,ChIJOwmMtJ4O9YgRcWWOjM7fFz8,Persepolis Persian Cuisine,"6435-B Roswell Rd, Sandy Springs, GA 30328",Sandy Springs,30328,33.930749,-84.3790961,4,246,4.3,834,0.7503878111,"Restaurants, Food, Persian/Iranian, Specialty Food, Ethnic Food, Middle Eastern","restaurant, food",1
3R0TFde14zZt4LgXVYmhiQ,ChIJz_r8aHgE9YgRWMtuVuysSFQ,Hooters,"209 Peachtree St NE, Atlanta, GA 30303",Atlanta,30303,33.7595191,-84.3874556,2,402,3.6,4026,0.5043478287,"Nightlife, Restaurants, American (Traditional), Burgers, Chicken Wings, Bars, Sports Bars","meal_delivery, meal_takeaway, bar, restaurant, food",1
CU84ekjzHClLpsE1SdQfYQ,ChIJZfZYLYsD9YgRa0isvNk8b3g,Foxx Original Jamaican Restaurant,"378 Edgewood Ave SE, Atlanta, GA 30312",Atlanta,30312,33.7544931,-84.3752964,3.5,95,4,511,0.6506619096,"Food, Caribbean, Specialty Food, Restaurants","restaurant, food",1
MurRZhxMFipelvK2zzHRaw,ChIJr3eGJWgF9YgRQ_RhEySlh3s,The Iberian Pig,"3150 Roswell Rd NW Suite A3, Atlanta, GA 30305",Atlanta,30305,33.8410438,-84.3793324,4.5,184,4.8,1378,0.8511348716,"Nightlife, Tapas Bars, Restaurants, Bars, Beer Bar, Spanish, Burgers","restaurant, food",1
5I0yJ_X7uyPmoJWzKRYDuA,ChIJNaeX0RAE9YgRyROTgp93Rbk,Tacos & Tequilas Mexican Grill,"650 Ponce De Leon Ave NE, Atlanta, GA 30308",Atlanta,30308,33.773801,-84.3667976,3.5,608,4.4,4890,0.7427648899,"Mexican, Restaurants","restaurant, food",1
hfaN7gunkikYjXM8n2Nl5w,ChIJu3bFIBoE9YgR4Ws7IwOzuHE,The Bookhouse Pub,"736 Ponce De Leon Ave NE, Atlanta, GA 30306",Atlanta,30306,33.7743972,-84.3626944,3.5,354,4.5,824,0.725879288,"Nightlife, Pubs, Restaurants, Bars","bar, restaurant, food",1
dWBKYjQ3q2v2dOjsfLLxDg,ChIJG7dvuIsD9YgRDhD_bJYPiTY,The BQE Restaurant & Lounge,"262 Edgewood Ave NE, Atlanta, GA 30303",Atlanta,30303,33.754583,-84.3791614,3.5,1068,4,3592,0.7082670588,"Soul Food, Restaurants, Southern, Nightlife, Lounges, Breakfast & Brunch, Bars","bar, restaurant, food",1
tDv2qG4N7PsYLN0QYuuaZQ,ChIJq-daJ0ME9YgR3GpEGsLo-aQ,Bulla Gastrobar,"60 11th St NE, Atlanta, GA 30309",Atlanta,30309,33.7835245,-84.3847277,4.5,526,4.8,6773,0.8839161154,"Mediterranean, Restaurants, Tapas/Small Plates, Spanish, Gastropubs, Tapas Bars","bar, restaurant, food",1
5-nUL-_CTYIzya5WG7bf5A,ChIJp-YA7RAE9YgRcNLjwszfPHc,H&F Burger,"675 Ponce De Leon Ave NE, Atlanta, GA 30308",Atlanta,30308,33.7728431,-84.3653233,3.5,468,3.9,1106,0.6732526118,"Restaurants, Burgers, American (Traditional)","restaurant, food",1
